,rank,title,artist
0,1,First Class,Jack Harlow
1,2,As It Was,Harry Styles
2,3,N95,Kendrick Lamar
3,4,Wait For U,Future Featuring Drake & Tems
4,5,Die Hard,"Kendrick Lamar, Blxst & Amanda Reifer"
5,6,You Proof,Morgan Wallen
6,7,Silent Hill,Kendrick Lamar & Kodak Black
7,8,United In Grief,Kendrick Lamar
8,9,About Damn Time,Lizzo
9,10,Big Energy,Latto
10,11,Father Time,Kendrick Lamar Featuring Sampha
11,12,Heat Waves,Glass Animals
12,13,Rich Spirit,Kendrick Lamar
13,14,Me Porto Bonito,Bad Bunny & Chencho Corleone
14,15,Moscow Mule,Bad Bunny
15,16,We Cry Together,Kendrick Lamar & Taylour Paige
16,17,Enemy,Imagine Dragons X JID
17,18,Titi Me Pregunto,Bad Bunny
18,19,Worldwide Steppers,Kendrick Lamar
19,20,Count Me Out,Kendrick Lamar
20,21,Stay,The Kid LAROI & Justin Bieber
21,22,Purple Hearts,"Kendrick Lamar, Summer Walker & Ghostface Killah"
22,23,Savior,"Kendrick Lamar, Baby Keem, & Sam Dew"
23,24,Woman,Doja Cat
24,25,Ghost,Justin Bieber
25,26,Despues de La Playa,Bad Bunny
26,27,Party,Bad Bunny & Rauw Alejandro
27,28,Wasted On You,Morgan Wallen
28,29,Cooped Up,Post Malone Featuring Roddy Ricch
29,30,Bad Habits,Ed Sheeran
30,31,Puffin On Zootiez,Future
31,32,Super Gremlin,Kodak Black
32,33,Rich (Interlude),Kendrick Lamar
33,34,Thats What I Want,Lil Nas X
34,35,Provenza,Karol G
35,36,Boyfriend,Dove Cameron
36,37,Shivers,Ed Sheeran
37,38,Cold Heart (PNAU Remix),Elton John & Dua Lipa
38,39,Bam Bam,Camila Cabello Featuring Ed Sheeran
39,40,Mr. Morale,Kendrick Lamar & Tanna Leone
40,41,Crown,Kendrick Lamar
41,42,Numb Little Bug,Em Beihold
42,43,'Til You Can't,Cody Johnson
43,44,MAMIII,Becky G X Karol G
44,45,Sweetest Pie,Megan Thee Stallion & Dua Lipa
45,46,AA,Walker Hayes
46,47,Auntie Diaries,Kendrick Lamar
47,48,Trouble With A Heartbreak,Jason Aldean
48,49,Ojitos Lindos,Bad Bunny & Bomba Estereo
49,50,Thought You Should Know,Morgan Wallen
50,51,Savior (Interlude),Kendrick Lamar
51,52,Tarot,Bad Bunny & Jhay Cortez
52,53,Un Ratito,Bad Bunny
53,54,Doin' This,Luke Combs
54,55,Mirror,Kendrick Lamar
55,56,Take My Name,Parmalee
56,57,Thousand Miles,The Kid LAROI
57,58,To The Moon!,JNR CHOI & Sam Tompkins
58,59,Mother I Sober,Kendrick Lamar Featuring Beth Gibbons
59,60,In A Minute,Lil Baby
60,61,Yo No Soy Celoso,Bad Bunny
61,62,Damn Strait,Scotty McCreery
62,63,Dua Lipa,Jack Harlow
63,64,She's All I Wanna Be,Tate McRae
64,65,Efecto,Bad Bunny
65,66,When You're Gone,Shawn Mendes
66,67,Get Into It (Yuh),Doja Cat
67,68,Freaky Deaky,Tyga X Doja Cat
68,69,Neverita,Bad Bunny
69,70,2step,Ed Sheeran Featuring Lil Baby
70,71,Never Say Never,Cole Swindell / Lainey Wilson
71,72,La Corriente,Bad Bunny & Tony Dize
72,73,What Happened To Virgil,Lil Durk Featuring Gunna
73,74,Right On,Lil Baby
74,75,Something In The Orange,Zach Bryan
75,76,Slow Down Summer,Thomas Rhett
76,77,The Heart Part 5,Kendrick Lamar
77,78,Churchill Downs,Jack Harlow Featuring Drake
78,79,Love You Better,Future
79,80,I'm On One,Future Featuring Drake
80,81,Andrea,Bad Bunny & Buscabulla
81,82,Never Wanted To Be That Girl,Carly Pearce & Ashley McBryde
82,83,Dos Mil 16,Bad Bunny
83,84,Flower Shops,ERNEST Featuring Morgan Wallen
84,85,Aguacero,Bad Bunny
85,86,If I Was A Cowboy,Miranda Lambert
86,87,Otro Atardecer,Bad Bunny & The Marias
87,88,Un Coco,Bad Bunny
88,89,El Apagon,Bad Bunny
89,90,Pushin P,Gunna & Future Featuring Young Thug
90,91,Me Or Sum,"Nardo Wick, Lil Baby & Future"
91,92,Fall In Love,Bailey Zimmerman
92,93,712PM,Future
93,94,Don't Think Jesus,Morgan Wallen
94,95,No Love,Summer Walker & SZA
95,96,The Motto,Tiesto & Ava Max
96,97,Me Fui de Vacaciones,Bad Bunny
97,98,Hold My Hand,Lady Gaga
98,99,Ensename A Bailar,Bad Bunny
99,100,Flowers,Lauren Spencer-Smith
